Name;Long;Lat;ModuleName;ModuleType
"Module intérieur branche";0.548669;41.1340977;"Module intérieur branche";Indoor
Timestamp;"Timezone : Europe/Madrid";Temperature;Humidity;CO2;Noise;Pressure
1657533600;"2022/07/11 12:00:00";28.9;65;849;49;993.9
1657620000;"2022/07/12 12:00:00";29.1;60;639;43;997.8
1657706400;"2022/07/13 12:00:00";28.4;63;655;46;999.3
1657792800;"2022/07/14 12:00:00";28.3;68;903;50;998.3
1657879200;"2022/07/15 12:00:00";27.6;67;627;40;996.6
1657965600;"2022/07/16 12:00:00";28.1;58;601;38;996.3
1658052000;"2022/07/17 12:00:00";28.5;66;774;41;998.1
1658138400;"2022/07/18 12:00:00";28.1;67;638;37;998.3
1658224800;"2022/07/19 12:00:00";28.3;69;560;39;996.5
1658311200;"2022/07/20 12:00:00";27.7;67;543;38;998.6
1658397600;"2022/07/21 12:00:00";28.1;70;475;35;998.2
1660212000;"2022/08/11 12:00:00";29.5;63;558;43;995.3
1660298400;"2022/08/12 12:00:00";29.2;61;488;42;993.3
1660384800;"2022/08/13 12:00:00";29.1;57;492;38;991.9
1660471200;"2022/08/14 12:00:00";28.8;53;440;34;990.9
1661335200;"2022/08/24 12:00:00";28.3;67;474;39;996.2
1661421600;"2022/08/25 12:00:00";27.8;61;657;41;1002.1
1661508000;"2022/08/26 12:00:00";27.3;58;531;37;1010.9
1661594400;"2022/08/27 12:00:00";27.1;58;571;39;1008.8
1661680800;"2022/08/28 12:00:00";26.4;69;479;38;1009.9
1661767200;"2022/08/29 12:00:00";27;70;515;42;1011.8
1661853600;"2022/08/30 12:00:00";27.2;73;553;39;1012.7
1661940000;"2022/08/31 12:00:00";27.9;68;590;41;1011.5
1662026400;"2022/09/01 12:00:00";26.6;63;556;37;1011
1662112800;"2022/09/02 12:00:00";27.3;69;545;36;1008
1662199200;"2022/09/03 12:00:00";27;61;533;38;1008.9
1662285600;"2022/09/04 12:00:00";26.8;67;561;40;1012.2
1662372000;"2022/09/05 12:00:00";27.3;73;566;38;1014.2
1662458400;"2022/09/06 12:00:00";27.3;62;510;38;1012.8
1662544800;"2022/09/07 12:00:00";26.6;53;483;39;1010.6
1662631200;"2022/09/08 12:00:00";25.7;48;508;38;1012
1662717600;"2022/09/09 12:00:00";26.3;55;517;38;1013.4
1662804000;"2022/09/10 12:00:00";26.4;62;547;38;1015.3
1662890400;"2022/09/11 12:00:00";27.1;73;611;40;1012.3
1662976800;"2022/09/12 12:00:00";27.2;73;546;41;1009.5
1663063200;"2022/09/13 12:00:00";26.8;74;551;42;1008.2
1663149600;"2022/09/14 12:00:00";25.6;71;632;39;1006.7
1663236000;"2022/09/15 12:00:00";26;61;538;38;1008.5
1663322400;"2022/09/16 12:00:00";26.2;54;487;37;1009.6
1663408800;"2022/09/17 12:00:00";25.1;49;453;37;1011.3
1663495200;"2022/09/18 12:00:00";25.2;61;488;37;1013
1663581600;"2022/09/19 12:00:00";24.9;63;540;37;1012.4
1663668000;"2022/09/20 12:00:00";25.1;52;489;37;1014
1663754400;"2022/09/21 12:00:00";24.7;53;462;37;1014.4
1663840800;"2022/09/22 12:00:00";24.5;59;494;38;1015
1663927200;"2022/09/23 12:00:00";23.7;66;479;39;1013.5
1664013600;"2022/09/24 12:00:00";23.5;60;551;41;1009.8
1664100000;"2022/09/25 12:00:00";22.7;50;575;37;1010.7
1664186400;"2022/09/26 12:00:00";22.2;47;564;39;1010.6
1664272800;"2022/09/27 12:00:00";21.9;48;557;39;1009.8
1664359200;"2022/09/28 12:00:00";22.2;50;600;40;1007
1664445600;"2022/09/29 12:00:00";21.8;48;558;40;1002.1
1664532000;"2022/09/30 12:00:00";21.6;48;684;39;1008.5
1664618400;"2022/10/01 12:00:00";21.7;48;786;40;1020.5
1664704800;"2022/10/02 12:00:00";21.6;51;599;37;1022.3
1664791200;"2022/10/03 12:00:00";22.1;59;535;39;1018.1
1664877600;"2022/10/04 12:00:00";22.5;68;547;38;1017.4
1664964000;"2022/10/05 12:00:00";22.6;66;576;39;1020.4
1665050400;"2022/10/06 12:00:00";22.1;65;536;38;1023.6
1665136800;"2022/10/07 12:00:00";22;64;630;39;1019.2
1665223200;"2022/10/08 12:00:00";21.9;68;615;41;1016.1
1665309600;"2022/10/09 12:00:00";21.8;68;651;40;1014.3
1665396000;"2022/10/10 12:00:00";21.7;70;615;38;1014.4
1665482400;"2022/10/11 12:00:00";21.2;70;596;38;1016.3
1665568800;"2022/10/12 12:00:00";20.8;66;544;38;1017.9
1665655200;"2022/10/13 12:00:00";20.6;61;499;38;1019.7
1665741600;"2022/10/14 12:00:00";21.4;56;511;37;1017.4
1665828000;"2022/10/15 12:00:00";21.7;64;566;37;1012.9
1665914400;"2022/10/16 12:00:00";22.7;71;651;38;1014.2
1666000800;"2022/10/17 12:00:00";23.2;73;724;39;1019.9
1666087200;"2022/10/18 12:00:00";23.1;74;594;39;1021.7
1666173600;"2022/10/19 12:00:00";23.4;74;602;39;1016.9
1666260000;"2022/10/20 12:00:00";22.5;73;639;40;1013.7
1666346400;"2022/10/21 12:00:00";22.1;75;635;41;1011.6
1666432800;"2022/10/22 12:00:00";21.7;70;679;40;1013.4
1666519200;"2022/10/23 12:00:00";22.1;76;579;40;1012.5
1666605600;"2022/10/24 12:00:00";21.5;74;565;40;1014.4
1666692000;"2022/10/25 12:00:00";21.4;70;541;40;1014.4
1666778400;"2022/10/26 12:00:00";21.9;76;696;40;1016.3
1666864800;"2022/10/27 12:00:00";20.5;73;496;36;1020.3
1667386800;"2022/11/02 12:00:00";20.6;69;633;45;1020.1
1667473200;"2022/11/03 12:00:00";20.6;73;638;39;1013.6
1667559600;"2022/11/04 12:00:00";20.2;64;812;42;1014
1667646000;"2022/11/05 12:00:00";20.5;55;883;41;1017.2
